   GoodVibes v3.2 2024/04/17 11:10:30
   Citation: Luchini, G.; Alegre-Requena, J. V.; Funes-Ardoiz, I.; Paton, R. S. F1000Research, 2020, 9, 291.
   GoodVibes version 3.2 DOI: 10.12688/f1000research.22758.1

o  Requested: --spc spc_nbo -c 1 --csv 

   Temperature = 298.15 Kelvin   Concentration = 1.0 mol/L
   All energetic values below shown in Hartree unless otherwise specified.

   Using vibrational scale factor 1.0 for PBE1PBE/6-31+G(d) level of theory

   Caution! Implicit solvation (SMD/CPCM) detected. Enthalpic and entropic terms cannot be safely separated. Use them at your own risk!

   Entropic quasi-harmonic treatment: frequency cut-off value of 100.0 wavenumbers will be applied.
   QS = Grimme: Using a mixture of RRHO and Free-rotor vibrational entropies.
   REF: Grimme, S. Chem. Eur. J. 2012, 18, 9955-9964

   Combining final single point energy with thermal corrections.

   Structure,E_SPC,E,ZPE,H_SPC,T.S,T.qh-S,G(T)_SPC,qh-G(T)_SPC,
o  A2a_pyridinium_censo_ensemble_clustered_conf_01_opt,-379.986602,-379.864823,0.130228,-379.847614,0.038595,0.038194,-379.886210,-379.885808,
o  A2a_reduced_censo_ensemble_clustered_conf_01_opt,-380.726611,-380.604255,0.139228,-380.577874,0.040598,0.039782,-380.618472,-380.617656,
o  A2b_inactive_censo_ensemble_clustered_conf_01_opt,-420.453084,-420.318052,0.180814,-420.261438,0.042815,0.042491,-420.304253,-420.303929,
o  A2b_inactive_censo_ensemble_clustered_conf_02_opt,-420.453357,-420.318414,0.181335,-420.261320,0.042423,0.042132,-420.303743,-420.303452,
o  A2b_pyridinium_censo_ensemble_clustered_conf_01_opt,-419.273805,-419.139535,0.157858,-419.105398,0.042769,0.042118,-419.148167,-419.147516,
o  A2b_pyridinium_censo_ensemble_clustered_conf_03_opt,-419.273805,-419.139535,0.157858,-419.105398,0.042766,0.042117,-419.148164,-419.147515,
o  A2b_reduced_censo_ensemble_clustered_conf_02_opt,-420.013666,-419.878920,0.167227,-419.835387,0.044303,0.043102,-419.879690,-419.878489,
o  A5a_inactive_censo_ensemble_clustered_conf_01_opt,-477.015455,-476.857685,0.155821,-476.849439,0.042374,0.041488,-476.891813,-476.890926,
o  A5a_pyridinium_censo_ensemble_clustered_conf_01_opt,-475.837071,-475.680089,0.133488,-475.693988,0.041283,0.040353,-475.735271,-475.734341,
o  A5a_reduced_censo_ensemble_clustered_conf_01_opt,-476.555482,-476.398990,0.142392,-476.402925,0.042238,0.041443,-476.445162,-476.444367,
o  A5b_inactive_censo_ensemble_clustered_conf_01_opt,-516.297100,-516.127117,0.184304,-516.101188,0.045321,0.044369,-516.146509,-516.145558,
o  A5b_inactive_censo_ensemble_clustered_conf_02_opt,-516.297208,-516.127128,0.183803,-516.101699,0.045604,0.044673,-516.147304,-516.146372,
o  A5b_inactive_censo_ensemble_clustered_conf_03_opt,-516.297099,-516.127117,0.184306,-516.101188,0.045317,0.044366,-516.146504,-516.145553,
o  A5b_inactive_censo_ensemble_clustered_conf_04_opt,-516.297208,-516.127128,0.183803,-516.101699,0.045610,0.044677,-516.147309,-516.146376,
o  A5b_inactive_censo_ensemble_clustered_conf_05_opt,-516.297208,-516.127128,0.183803,-516.101699,0.045609,0.044676,-516.147308,-516.146375,
o  A5b_inactive_censo_ensemble_clustered_conf_06_opt,-516.297101,-516.127117,0.184306,-516.101188,0.045323,0.044369,-516.146511,-516.145558,
o  A5b_pyridinium_censo_ensemble_clustered_conf_01_opt,-515.123523,-514.954111,0.161090,-514.951012,0.045532,0.044268,-514.996544,-514.995279,
o  A5b_pyridinium_censo_ensemble_clustered_conf_02_opt,-515.123523,-514.954111,0.161105,-514.951008,0.045455,0.044242,-514.996463,-514.995251,
o  A5b_pyridinium_censo_ensemble_clustered_conf_03_opt,-515.123524,-514.954111,0.161107,-514.951008,0.045453,0.044242,-514.996461,-514.995250,
o  A5b_pyridinium_censo_ensemble_clustered_conf_04_opt,-515.123523,-514.954111,0.161103,-514.951009,0.045471,0.044248,-514.996480,-514.995257,
o  A5b_reduced_censo_ensemble_clustered_conf_01_opt,-515.841728,-515.672938,0.170315,-515.659709,0.045508,0.044613,-515.705216,-515.704322,
o  A3a_inactive_censo_ensemble_clustered_conf_01_opt,-441.545861,-441.400692,0.191561,-441.343194,0.043796,0.043077,-441.386990,-441.386272,
o  A3a_inactive_censo_ensemble_clustered_conf_03_opt,-441.543665,-441.398704,0.191572,-441.341075,0.043475,0.042807,-441.384550,-441.383882,
o  A3a_pyridinium_censo_ensemble_clustered_conf_01_opt,-440.363220,-440.219064,0.169070,-440.183601,0.043224,0.042071,-440.226825,-440.225672,
o  A3a_pyridinium_censo_ensemble_clustered_conf_03_opt,-440.363073,-440.218866,0.169206,-440.183397,0.042788,0.041858,-440.226185,-440.225254,
o  A3a_pyridinium_censo_ensemble_clustered_conf_04_opt,-440.363118,-440.218913,0.169199,-440.183449,0.042978,0.041842,-440.226427,-440.225292,
o  A3a_reduced_censo_ensemble_clustered_conf_01_opt,-441.100089,-440.955766,0.178059,-440.910744,0.044934,0.043641,-440.955679,-440.954386,
o  A3a_reduced_censo_ensemble_clustered_conf_02_opt,-441.100090,-440.955766,0.178058,-440.910749,0.044918,0.043635,-440.955667,-440.954384,
o  A3a_reduced_censo_ensemble_clustered_conf_03_opt,-441.096936,-440.953023,0.177980,-440.907750,0.044794,0.043405,-440.952544,-440.951156,
o  A3a_reduced_censo_ensemble_clustered_conf_04_opt,-441.096942,-440.953024,0.177986,-440.907747,0.044788,0.043411,-440.952535,-440.951158,
o  A3a_reduced_censo_ensemble_clustered_conf_05_opt,-441.096943,-440.953024,0.177939,-440.907758,0.045154,0.043583,-440.952912,-440.951341,
o  A3b_inactive_censo_ensemble_clustered_conf_01_opt,-480.827594,-480.670128,0.219637,-480.595349,0.047072,0.046243,-480.642421,-480.641592,
o  A3b_inactive_censo_ensemble_clustered_conf_02_opt,-480.827713,-480.670317,0.220062,-480.595128,0.046907,0.045989,-480.642035,-480.641117,
o  A3b_inactive_censo_ensemble_clustered_conf_03_opt,-480.825382,-480.668092,0.219421,-480.593354,0.047198,0.046251,-480.640552,-480.639605,
o  A3b_inactive_censo_ensemble_clustered_conf_04_opt,-480.825477,-480.668303,0.220079,-480.592883,0.047047,0.045995,-480.639931,-480.638879,
o  A3b_pyridinium_censo_ensemble_clustered_conf_01_opt,-479.650026,-479.493432,0.196625,-479.441041,0.047705,0.046052,-479.488746,-479.487093,
o  A3b_pyridinium_censo_ensemble_clustered_conf_03_opt,-479.649857,-479.493223,0.196725,-479.440722,0.048284,0.046219,-479.489006,-479.486940,
o  A3b_pyridinium_censo_ensemble_clustered_conf_04_opt,-479.650017,-479.493386,0.196712,-479.440908,0.048268,0.046204,-479.489176,-479.487112,
o  A3b_pyridinium_censo_ensemble_clustered_conf_05_opt,-479.649995,-479.493351,0.196846,-479.440806,0.047883,0.046068,-479.488689,-479.486874,
o  A3b_pyridinium_censo_ensemble_clustered_conf_06_opt,-479.649995,-479.493351,0.196846,-479.440805,0.047885,0.046068,-479.488690,-479.486873,
o  A3b_reduced_censo_ensemble_clustered_conf_01_opt,-480.387230,-480.230609,0.206065,-480.168373,0.047983,0.046719,-480.216356,-480.215092,
o  A3b_reduced_censo_ensemble_clustered_conf_02_opt,-480.387238,-480.230610,0.206061,-480.168382,0.047996,0.046726,-480.216378,-480.215108,
o  A3b_reduced_censo_ensemble_clustered_conf_03_opt,-480.384190,-480.227939,0.206086,-480.165444,0.047606,0.046345,-480.213050,-480.211789,
o  A3b_reduced_censo_ensemble_clustered_conf_04_opt,-480.384187,-480.227939,0.206090,-480.165442,0.047582,0.046332,-480.213024,-480.211774,
o  A4a_inactive_censo_ensemble_clustered_conf_02_opt,-402.254209,-402.121432,0.163703,-402.080955,0.039943,0.039719,-402.120898,-402.120675,
o  A4a_pyridinium_censo_ensemble_clustered_conf_01_opt,-401.069288,-400.937550,0.140778,-400.919372,0.039924,0.039083,-400.959296,-400.958456,
o  A4a_pyridinium_censo_ensemble_clustered_conf_02_opt,-401.069383,-400.937583,0.140867,-400.919346,0.040458,0.039285,-400.959804,-400.958632,
o  A4a_pyridinium_censo_ensemble_clustered_conf_03_opt,-401.069481,-400.937698,0.140672,-400.919640,0.040040,0.039111,-400.959681,-400.958751,
o  A4a_reduced_censo_ensemble_clustered_conf_01_opt,-401.813175,-401.681308,0.150318,-401.653320,0.040428,0.039765,-401.693748,-401.693085,
o  A4a_reduced_censo_ensemble_clustered_conf_02_opt,-401.805219,-401.673752,0.150130,-401.645403,0.041211,0.040196,-401.686614,-401.685599,
o  A4b_inactive_censo_ensemble_clustered_conf_01_opt,-441.536073,-441.391104,0.192096,-441.333005,0.043106,0.042707,-441.376111,-441.375712,
o  A4b_inactive_censo_ensemble_clustered_conf_02_opt,-441.535939,-441.390875,0.191877,-441.333061,0.043198,0.042842,-441.376258,-441.375903,
o  A4b_inactive_censo_ensemble_clustered_conf_05_opt,-441.531022,-441.386143,0.191418,-441.328401,0.043840,0.043311,-441.372241,-441.371712,
o  A4b_inactive_censo_ensemble_clustered_conf_06_opt,-441.531195,-441.386405,0.191882,-441.328186,0.043673,0.043097,-441.371859,-441.371283,
o  A4b_pyridinium_censo_ensemble_clustered_conf_01_opt,-440.356428,-440.212239,0.168484,-440.176982,0.044439,0.043067,-440.221421,-440.220049,
o  A4b_pyridinium_censo_ensemble_clustered_conf_03_opt,-440.356428,-440.212239,0.168481,-440.176983,0.044467,0.043080,-440.221450,-440.220063,
o  A4b_pyridinium_censo_ensemble_clustered_conf_04_opt,-440.356359,-440.212158,0.168808,-440.176688,0.043639,0.042789,-440.220327,-440.219478,
o  A4b_pyridinium_censo_ensemble_clustered_conf_05_opt,-440.356518,-440.212325,0.168600,-440.177020,0.043699,0.042864,-440.220719,-440.219884,
o  A4b_reduced_censo_ensemble_clustered_conf_01_opt,-441.100411,-440.956223,0.178199,-440.911117,0.043777,0.043105,-440.954894,-440.954222,
o  A4b_reduced_censo_ensemble_clustered_conf_02_opt,-441.092539,-440.948712,0.177942,-440.903339,0.045463,0.043923,-440.948802,-440.947262,
o  A6a_inactive_censo_ensemble_clustered_conf_01_opt,-516.731850,-516.556700,0.197206,-516.522556,0.046552,0.045498,-516.569108,-516.568055,
o  A6a_inactive_censo_ensemble_clustered_conf_02_opt,-516.731634,-516.556584,0.197295,-516.522322,0.046169,0.045260,-516.568491,-516.567582,
o  A6a_pyridinium_censo_ensemble_clustered_conf_02_opt,-515.550069,-515.375891,0.174992,-515.363619,0.045471,0.044280,-515.409090,-515.407899,
o  A6a_pyridinium_censo_ensemble_clustered_conf_05_opt,-515.550016,-515.375809,0.174792,-515.363707,0.045930,0.044468,-515.409637,-515.408175,
o  A6a_pyridinium_censo_ensemble_clustered_conf_06_opt,-515.550049,-515.375831,0.174863,-515.363650,0.046253,0.044601,-515.409902,-515.408250,
o  A6a_reduced_censo_ensemble_clustered_conf_04_opt,-516.284430,-516.110265,0.183756,-516.088555,0.046913,0.045559,-516.135467,-516.134114,
o  A6b_inactive_censo_ensemble_clustered_conf_01_opt,-556.013637,-555.826205,0.225251,-555.774805,0.049868,0.048639,-555.824673,-555.823443,
o  A6b_inactive_censo_ensemble_clustered_conf_03_opt,-556.013333,-555.825996,0.225467,-555.774332,0.049763,0.048521,-555.824095,-555.822853,
o  A6b_inactive_censo_ensemble_clustered_conf_04_opt,-556.013448,-555.826215,0.225959,-555.774035,0.049451,0.048260,-555.823486,-555.822296,
o  A6b_inactive_censo_ensemble_clustered_conf_10_opt,-556.013778,-555.826438,0.225896,-555.774402,0.049635,0.048334,-555.824037,-555.822736,
o  A6b_pyridinium_censo_ensemble_clustered_conf_01_opt,-554.836831,-554.650250,0.202591,-554.620928,0.050349,0.048314,-554.671276,-554.669242,
o  A6b_pyridinium_censo_ensemble_clustered_conf_02_opt,-554.837073,-554.650480,0.202721,-554.621123,0.049597,0.048019,-554.670719,-554.669141,
o  A6b_pyridinium_censo_ensemble_clustered_conf_03_opt,-554.837095,-554.650462,0.202378,-554.621333,0.050415,0.048413,-554.671747,-554.669745,
o  A6b_reduced_censo_ensemble_clustered_conf_01_opt,-555.571745,-555.385106,0.211485,-555.346502,0.050592,0.049026,-555.397094,-555.395528,
o  B1a_inactive_censo_ensemble_clustered_conf_01_opt,-575.459669,-575.266956,0.267391,-575.177611,0.053153,0.050889,-575.230764,-575.228500,
o  B1a_inactive_censo_ensemble_clustered_conf_03_opt,-575.459284,-575.266520,0.267296,-575.177280,0.053446,0.051070,-575.230726,-575.228351,
o  B1a_inactive_censo_ensemble_clustered_conf_04_opt,-575.458937,-575.266057,0.267359,-575.176856,0.053072,0.051048,-575.229928,-575.227904,
o  B1a_inactive_censo_ensemble_clustered_conf_05_opt,-575.459151,-575.266398,0.267305,-575.177177,0.052932,0.050823,-575.230109,-575.227999,
o  B1a_inactive_censo_ensemble_clustered_conf_06_opt,-575.459184,-575.266463,0.268078,-575.176717,0.052414,0.050338,-575.229130,-575.227055,
o  B1a_inactive_censo_ensemble_clustered_conf_07_opt,-575.457968,-575.265114,0.267631,-575.175677,0.052987,0.050893,-575.228664,-575.226570,
o  B1a_inactive_censo_ensemble_clustered_conf_08_opt,-575.458414,-575.265440,0.267169,-575.176441,0.053340,0.051271,-575.229781,-575.227712,
o  B1a_inactive_censo_ensemble_clustered_conf_10_opt,-575.459156,-575.266434,0.267889,-575.176853,0.052039,0.050225,-575.228892,-575.227078,
o  B1a_pyridinium_censo_ensemble_clustered_conf_01_opt,-574.277920,-574.085762,0.244875,-574.018903,0.052507,0.050158,-574.071410,-574.069061,
o  B1a_pyridinium_censo_ensemble_clustered_conf_02_opt,-574.277854,-574.085802,0.245097,-574.018669,0.052712,0.050223,-574.071381,-574.068892,
o  B1a_pyridinium_censo_ensemble_clustered_conf_03_opt,-574.278046,-574.086069,0.244723,-574.019317,0.051874,0.049696,-574.071191,-574.069013,
o  B1a_pyridinium_censo_ensemble_clustered_conf_04_opt,-574.278093,-574.086148,0.244952,-574.019105,0.052577,0.049947,-574.071682,-574.069052,
o  B1a_pyridinium_censo_ensemble_clustered_conf_05_opt,-574.278329,-574.086366,0.245383,-574.019072,0.051422,0.049342,-574.070494,-574.068414,
o  B1a_pyridinium_censo_ensemble_clustered_conf_06_opt,-574.277254,-574.085157,0.245475,-574.017916,0.051342,0.049342,-574.069258,-574.067258,
o  B1a_pyridinium_censo_ensemble_clustered_conf_07_opt,-574.278286,-574.086346,0.245578,-574.019037,0.050676,0.048779,-574.069714,-574.067816,
o  B1a_pyridinium_censo_ensemble_clustered_conf_08_opt,-574.278275,-574.086249,0.245761,-574.018838,0.050711,0.048806,-574.069549,-574.067644,
o  B1a_pyridinium_censo_ensemble_clustered_conf_09_opt,-574.277665,-574.085736,0.245006,-574.018741,0.051421,0.049453,-574.070162,-574.068194,
o  B1a_pyridinium_censo_ensemble_clustered_conf_10_opt,-574.277205,-574.085173,0.245685,-574.017650,0.051388,0.049394,-574.069038,-574.067044,
o  B1a_reduced_censo_ensemble_clustered_conf_01_opt,-575.009318,-574.817470,0.253791,-574.740830,0.053248,0.050984,-574.794079,-574.791814,
o  B1a_reduced_censo_ensemble_clustered_conf_05_opt,-575.006966,-574.814932,0.253605,-574.738595,0.053677,0.051130,-574.792272,-574.789725,
o  B1a_reduced_censo_ensemble_clustered_conf_07_opt,-575.006339,-574.814201,0.253621,-574.737878,0.054033,0.051489,-574.791911,-574.789367,
o  B1a_reduced_censo_ensemble_clustered_conf_08_opt,-575.006296,-574.814162,0.253759,-574.737831,0.053657,0.051176,-574.791488,-574.789007,
o  B1b_inactive_censo_ensemble_clustered_conf_01_opt,-614.741516,-614.536554,0.295284,-614.430032,0.056366,0.053922,-614.486398,-614.483954,
o  B1b_inactive_censo_ensemble_clustered_conf_02_opt,-614.741241,-614.536195,0.295615,-614.429528,0.056049,0.053759,-614.485577,-614.483287,
o  B1b_inactive_censo_ensemble_clustered_conf_03_opt,-614.741749,-614.536762,0.296139,-614.429572,0.055984,0.053532,-614.485556,-614.483104,
o  B1b_inactive_censo_ensemble_clustered_conf_04_opt,-614.741501,-614.536542,0.295654,-614.429682,0.056752,0.053966,-614.486435,-614.483648,
o  B1b_inactive_censo_ensemble_clustered_conf_06_opt,-614.741743,-614.536826,0.296771,-614.429206,0.055249,0.053067,-614.484455,-614.482273,
o  B1b_inactive_censo_ensemble_clustered_conf_07_opt,-614.741050,-614.536046,0.295973,-614.428992,0.056220,0.053728,-614.485212,-614.482721,
o  B1b_inactive_censo_ensemble_clustered_conf_08_opt,-614.739898,-614.534741,0.295731,-614.428034,0.056095,0.053856,-614.484129,-614.481891,
o  B1b_inactive_censo_ensemble_clustered_conf_09_opt,-614.739591,-614.534422,0.296092,-614.427381,0.056239,0.053795,-614.483620,-614.481175,
o  B1b_inactive_censo_ensemble_clustered_conf_10_opt,-614.738312,-614.533244,0.296260,-614.426165,0.054907,0.052984,-614.481072,-614.479148,
o  B1b_pyridinium_censo_ensemble_clustered_conf_01_opt,-613.564789,-613.360276,0.272602,-613.276307,0.056135,0.053652,-613.332442,-613.329959,
o  B1b_pyridinium_censo_ensemble_clustered_conf_03_opt,-613.565032,-613.360608,0.272965,-613.276344,0.055843,0.053184,-613.332187,-613.329527,
o  B1b_pyridinium_censo_ensemble_clustered_conf_04_opt,-613.565255,-613.360874,0.273291,-613.276361,0.055140,0.052891,-613.331501,-613.329252,
o  B1b_pyridinium_censo_ensemble_clustered_conf_05_opt,-613.564118,-613.359571,0.272606,-613.275673,0.055912,0.053467,-613.331585,-613.329140,
o  B1b_pyridinium_censo_ensemble_clustered_conf_06_opt,-613.563977,-613.359496,0.272794,-613.275313,0.056579,0.053592,-613.331892,-613.328905,
o  B1b_pyridinium_censo_ensemble_clustered_conf_07_opt,-613.565161,-613.360781,0.273086,-613.276500,0.055112,0.052763,-613.331612,-613.329263,
o  B1b_pyridinium_censo_ensemble_clustered_conf_08_opt,-613.563147,-613.359061,0.272964,-613.274511,0.055538,0.052909,-613.330049,-613.327420,
o  B1b_pyridinium_censo_ensemble_clustered_conf_09_opt,-613.562994,-613.358875,0.272945,-613.274368,0.055428,0.052909,-613.329796,-613.327277,
o  B1b_pyridinium_censo_ensemble_clustered_conf_10_opt,-613.564398,-613.359913,0.272769,-613.275740,0.056383,0.053694,-613.332123,-613.329434,
o  B1b_reduced_censo_ensemble_clustered_conf_01_opt,-614.296191,-614.092080,0.281822,-613.998137,0.056496,0.054058,-614.054633,-614.052194,
o  B1b_reduced_censo_ensemble_clustered_conf_04_opt,-614.293813,-614.089536,0.281798,-613.995831,0.056445,0.053897,-614.052276,-614.049728,
o  B1b_reduced_censo_ensemble_clustered_conf_07_opt,-614.293802,-614.089470,0.282024,-613.995719,0.055861,0.053525,-614.051580,-614.049244,
o  B1b_reduced_censo_ensemble_clustered_conf_08_opt,-614.293005,-614.088623,0.281628,-613.995081,0.056952,0.054264,-614.052033,-614.049345,
o  B1b_reduced_censo_ensemble_clustered_conf_10_opt,-614.291295,-614.087003,0.281771,-613.993373,0.055857,0.053588,-614.049230,-614.046961,
o  B2a_inactive_censo_ensemble_clustered_conf_01_opt,-499.017620,-498.858019,0.238967,-498.765470,0.049552,0.047872,-498.815023,-498.813342,
o  B2a_inactive_censo_ensemble_clustered_conf_02_opt,-499.017319,-498.857654,0.238624,-498.765414,0.049850,0.048122,-498.815264,-498.813536,
o  B2a_inactive_censo_ensemble_clustered_conf_03_opt,-499.016697,-498.856934,0.238827,-498.764532,0.049876,0.048310,-498.814408,-498.812842,
o  B2a_inactive_censo_ensemble_clustered_conf_04_opt,-499.017480,-498.857961,0.239031,-498.765418,0.048898,0.047442,-498.814316,-498.812860,
o  B2a_inactive_censo_ensemble_clustered_conf_05_opt,-499.016228,-498.856467,0.238865,-498.764070,0.050016,0.048221,-498.814086,-498.812291,
o  B2a_inactive_censo_ensemble_clustered_conf_06_opt,-499.016154,-498.856395,0.238732,-498.764163,0.049648,0.048049,-498.813811,-498.812212,
o  B2a_inactive_censo_ensemble_clustered_conf_07_opt,-499.016204,-498.856584,0.238649,-498.764288,0.049925,0.048152,-498.814214,-498.812440,
o  B2a_inactive_censo_ensemble_clustered_conf_08_opt,-499.015723,-498.856141,0.238840,-498.763655,0.049596,0.047990,-498.813251,-498.811645,
o  B2a_inactive_censo_ensemble_clustered_conf_09_opt,-499.015216,-498.855777,0.239016,-498.763054,0.049071,0.047629,-498.812125,-498.810683,
o  B2a_inactive_censo_ensemble_clustered_conf_10_opt,-499.015596,-498.856184,0.239256,-498.763327,0.048469,0.047286,-498.811796,-498.810613,
o  B2a_pyridinium_censo_ensemble_clustered_conf_01_opt,-497.832898,-497.674066,0.216372,-497.603920,0.048525,0.046956,-497.652445,-497.650876,
o  B2a_pyridinium_censo_ensemble_clustered_conf_03_opt,-497.832175,-497.673333,0.216370,-497.603252,0.048414,0.046777,-497.651666,-497.650029,
o  B2a_pyridinium_censo_ensemble_clustered_conf_04_opt,-497.832230,-497.673422,0.216847,-497.602945,0.047847,0.046447,-497.650792,-497.649392,
o  B2a_pyridinium_censo_ensemble_clustered_conf_05_opt,-497.833251,-497.674557,0.217124,-497.603980,0.046607,0.045605,-497.650587,-497.649584,
o  B2a_pyridinium_censo_ensemble_clustered_conf_06_opt,-497.833006,-497.674317,0.217081,-497.603704,0.047071,0.045864,-497.650776,-497.649568,
o  B2a_pyridinium_censo_ensemble_clustered_conf_07_opt,-497.829690,-497.670575,0.216520,-497.600568,0.048596,0.047088,-497.649164,-497.647655,
o  B2a_pyridinium_censo_ensemble_clustered_conf_08_opt,-497.830998,-497.672580,0.216755,-497.601893,0.047191,0.045994,-497.649084,-497.647887,
o  B2a_pyridinium_censo_ensemble_clustered_conf_09_opt,-497.830914,-497.672460,0.216709,-497.601847,0.047376,0.046036,-497.649223,-497.647883,
o  B2a_pyridinium_censo_ensemble_clustered_conf_10_opt,-497.833063,-497.674336,0.216117,-497.604427,0.048163,0.046629,-497.652590,-497.651056,
o  B2a_reduced_censo_ensemble_clustered_conf_07_opt,-498.570819,-498.411673,0.225727,-498.332004,0.049272,0.047506,-498.381277,-498.379511,
o  B2a_reduced_censo_ensemble_clustered_conf_08_opt,-498.570023,-498.410850,0.225494,-498.331385,0.049624,0.047679,-498.381009,-498.379064,
o  B2a_reduced_censo_ensemble_clustered_conf_10_opt,-498.572093,-498.412800,0.225286,-498.333486,0.050466,0.048404,-498.383953,-498.381891,
o  B2b_inactive_censo_ensemble_clustered_conf_01_opt,-538.299501,-538.127612,0.266837,-538.017931,0.053056,0.051032,-538.070988,-538.068964,
o  B2b_inactive_censo_ensemble_clustered_conf_02_opt,-538.299625,-538.127784,0.267490,-538.017543,0.052578,0.050704,-538.070121,-538.068248,
o  B2b_inactive_censo_ensemble_clustered_conf_03_opt,-538.299164,-538.127215,0.267037,-538.017469,0.052639,0.050882,-538.070108,-538.068351,
o  B2b_inactive_censo_ensemble_clustered_conf_04_opt,-538.299837,-538.127982,0.267560,-538.017734,0.052151,0.050492,-538.069886,-538.068227,
o  B2b_inactive_censo_ensemble_clustered_conf_05_opt,-538.298670,-538.126600,0.266677,-538.017132,0.053416,0.051487,-538.070548,-538.068619,
o  B2b_inactive_censo_ensemble_clustered_conf_06_opt,-538.298465,-538.126390,0.266739,-538.016873,0.053248,0.051442,-538.070121,-538.068316,
o  B2b_inactive_censo_ensemble_clustered_conf_07_opt,-538.297786,-538.125736,0.267080,-538.016005,0.052667,0.051016,-538.068671,-538.067021,
o  B2b_inactive_censo_ensemble_clustered_conf_08_opt,-538.298182,-538.126178,0.267387,-538.016107,0.052774,0.050955,-538.068881,-538.067063,
