   GoodVibes v3.2 2024/07/22 09:33:31
   Citation: Luchini, G.; Alegre-Requena, J. V.; Funes-Ardoiz, I.; Paton, R. S. F1000Research, 2020, 9, 291.
   GoodVibes version 3.2 DOI: 10.12688/f1000research.22758.1

o  Requested: -c 1 --csv --pes rxn.yaml 

   Temperature = 298.15 Kelvin   Concentration = 1.0 mol/L
   All energetic values below shown in Hartree unless otherwise specified.

   Using vibrational scale factor 1.0 for PBE1PBE/6-31+G(d) level of theory

   Caution! Implicit solvation (SMD/CPCM) detected. Enthalpic and entropic terms cannot be safely separated. Use them at your own risk!

   Entropic quasi-harmonic treatment: frequency cut-off value of 100.0 wavenumbers will be applied.
   QS = Grimme: Using a mixture of RRHO and Free-rotor vibrational entropies.
   REF: Grimme, S. Chem. Eur. J. 2012, 18, 9955-9964


   Structure,E,ZPE,H,T.S,T.qh-S,G(T),qh-G(T),
o  bnah_ts2_conf_04a_opt,-1331.102039,0.289412,-1330.791530,0.069145,0.064691,-1330.860675,-1330.856221,
o  bnah_ts2_conf_05a_opt,-1331.101832,0.289411,-1330.791314,0.069556,0.064920,-1330.860870,-1330.856234,
o  bnah_ts2_conf_06a_opt,-1331.101832,0.289412,-1330.791314,0.069559,0.064920,-1330.860873,-1330.856234,
o  bnah_ts2_conf_07_opt,-1331.101803,0.289043,-1330.791494,0.070255,0.065345,-1330.861749,-1330.856839,
o  bnah_ts2_conf_07a_opt,-1331.101737,0.289817,-1330.790977,0.069077,0.064611,-1330.860054,-1330.855588,
o  mnah_reduced_conf_01_opt,-457.008302,0.167364,-456.829861,0.044098,0.043066,-456.873959,-456.872926,
o  mnah_reduced_conf_02_opt,-457.008302,0.167364,-456.829861,0.044097,0.043065,-456.873957,-456.872925,
o  mnah_reduced_conf_03_opt,-457.005645,0.167501,-456.827115,0.044244,0.042917,-456.871359,-456.870032,
o  mnah_reduced_conf_04_opt,-457.005707,0.167617,-456.827137,0.043724,0.042708,-456.870861,-456.869845,
o  mnah_ts1_conf_01_opt,-1100.266539,0.203075,-1100.047153,0.056070,0.054408,-1100.103223,-1100.101561,
o  mnah_ts1_conf_01a_opt,-1100.288246,0.201964,-1100.069223,0.059081,0.056146,-1100.128304,-1100.125369,
o  mnah_ts1_conf_02_opt,-1100.266373,0.202921,-1100.047081,0.056297,0.054542,-1100.103378,-1100.101622,
o  mnah_ts1_conf_02a_opt,-1100.288049,0.202142,-1100.068936,0.058489,0.055878,-1100.127425,-1100.124814,
o  mnah_ts1_conf_03a_opt,-1100.288814,0.202012,-1100.069686,0.059984,0.056456,-1100.129670,-1100.126142,
o  mnah_ts2_conf_03a_opt,-1100.300538,0.207502,-1100.076495,0.057145,0.055113,-1100.133640,-1100.131608,
o  mnah_ts2_conf_04a_opt,-1100.300446,0.207550,-1100.076415,0.056967,0.054940,-1100.133382,-1100.131355,
o  mnah_ts2_ts_conf_03a_opt,-1100.300537,0.207505,-1100.076494,0.057139,0.055109,-1100.133632,-1100.131602,
o  mnah_ts2_ts_conf_04a_opt,-1100.300447,0.207550,-1100.076415,0.056976,0.054944,-1100.133390,-1100.131358,
o  p2nah_reduced_conf_01_opt,-727.082677,0.278695,-726.787524,0.058984,0.055409,-726.846508,-726.842933,
o  p2nah_reduced_conf_02_opt,-727.084936,0.278862,-726.789817,0.057722,0.054596,-726.847539,-726.844413,
o  p2nah_reduced_conf_03_opt,-727.085075,0.279268,-726.789823,0.056123,0.053655,-726.845946,-726.843478,
o  p2nah_reduced_conf_04_opt,-727.086154,0.278680,-726.791134,0.057963,0.054736,-726.849097,-726.845870,
o  p2nah_reduced_conf_05_opt,-727.083958,0.278989,-726.788888,0.056291,0.053755,-726.845179,-726.842643,
o  p2nah_reduced_conf_06_opt,-727.080149,0.278726,-726.784937,0.059339,0.055687,-726.844276,-726.840624,
o  p2nah_reduced_conf_07_opt,-727.080191,0.278712,-726.784972,0.059109,0.055485,-726.844081,-726.840457,
o  p2nah_reduced_conf_08_opt,-727.082403,0.278975,-726.787208,0.057478,0.054371,-726.844686,-726.841580,
o  p2nah_reduced_conf_09_opt,-727.082403,0.278975,-726.787208,0.057478,0.054371,-726.844686,-726.841580,
o  p2nah_reduced_conf_10_opt,-727.082201,0.278702,-726.787248,0.057549,0.054482,-726.844797,-726.841730,
o  p2nah_ts1_conf_01_opt,-1370.366573,0.313107,-1370.031323,0.072503,0.067181,-1370.103825,-1370.098504,
o  p2nah_ts1_conf_01a_opt,-1370.365858,0.313192,-1370.030090,0.074277,0.068171,-1370.104368,-1370.098261,
o  p2nah_ts1_conf_02_opt,-1370.366368,0.312981,-1370.031203,0.072379,0.067209,-1370.103582,-1370.098412,
o  p2nah_ts1_conf_03_opt,-1370.365982,0.313578,-1370.030473,0.070735,0.066238,-1370.101208,-1370.096710,
o  p2nah_ts1_conf_04_opt,-1370.363939,0.313031,-1370.028671,0.071201,0.066722,-1370.099873,-1370.095394,
o  p2nah_ts1_conf_04a_opt,-1370.361980,0.313032,-1370.026148,0.075348,0.068935,-1370.101495,-1370.095083,
o  p2nah_ts1_conf_05_opt,-1370.363549,0.313068,-1370.028171,0.073504,0.067925,-1370.101675,-1370.096096,
o  p2nah_ts1_conf_06a_opt,-1370.363041,0.312989,-1370.027194,0.075849,0.069107,-1370.103042,-1370.096301,
o  p2nah_ts1_conf_07a_opt,-1370.362774,0.313049,-1370.026904,0.075359,0.068879,-1370.102263,-1370.095783,
o  p2nah_ts1_conf_10a_opt,-1370.366076,0.313311,-1370.030232,0.074017,0.068028,-1370.104249,-1370.098260,
o  p2nah_ts2_conf_01_opt,-1370.377906,0.317942,-1370.037553,0.072393,0.067224,-1370.109946,-1370.104777,
o  p2nah_ts2_conf_01a_opt,-1370.377741,0.318990,-1370.036822,0.070676,0.066180,-1370.107498,-1370.103002,
o  p2nah_ts2_conf_02a_opt,-1370.377324,0.318341,-1370.036768,0.071566,0.066803,-1370.108334,-1370.103571,
o  p2nah_ts2_conf_03_opt,-1370.377241,0.318758,-1370.036383,0.070795,0.066516,-1370.107179,-1370.102900,
o  p2nah_ts2_conf_04_opt,-1370.377325,0.318341,-1370.036769,0.071565,0.066802,-1370.108334,-1370.103571,
o  p3nah_reduced_conf_01_opt,-766.353543,0.307821,-766.028230,0.060413,0.057064,-766.088643,-766.085294,
o  p3nah_reduced_conf_02_opt,-766.353543,0.307821,-766.028230,0.060413,0.057064,-766.088643,-766.085294,
o  p3nah_reduced_conf_03_opt,-766.351637,0.307568,-766.026484,0.061491,0.057611,-766.087975,-766.084095,
o  p3nah_reduced_conf_04_opt,-766.352311,0.308193,-766.026905,0.059395,0.056300,-766.086300,-766.083205,
o  p3nah_reduced_conf_05_opt,-766.351064,0.307227,-766.026029,0.062747,0.058418,-766.088777,-766.084447,
o  p3nah_reduced_conf_06_opt,-766.352311,0.308193,-766.026905,0.059395,0.056301,-766.086300,-766.083206,
o  p3nah_reduced_conf_07_opt,-766.352311,0.308193,-766.026905,0.059395,0.056301,-766.086300,-766.083206,
o  p3nah_reduced_conf_08_opt,-766.352311,0.308193,-766.026905,0.059395,0.056301,-766.086300,-766.083206,
o  p3nah_reduced_conf_09_opt,-766.349115,0.307574,-766.023963,0.061739,0.057583,-766.085702,-766.081546,
o  p3nah_reduced_conf_10_opt,-766.349115,0.307574,-766.023963,0.061739,0.057583,-766.085702,-766.081546,
o  p3nah_ts1_conf_01_opt,-1409.637058,0.342245,-1409.271625,0.073223,0.068498,-1409.344848,-1409.340123,
o  p3nah_ts1_conf_01a_opt,-1409.635091,0.342027,-1409.269260,0.076533,0.070294,-1409.345794,-1409.339554,
o  p3nah_ts1_conf_02_opt,-1409.635070,0.342129,-1409.269688,0.073746,0.068786,-1409.343434,-1409.338474,
o  p3nah_ts1_conf_02a_opt,-1409.635070,0.342129,-1409.269687,0.073745,0.068786,-1409.343432,-1409.338473,
o  p3nah_ts1_conf_03_opt,-1409.634809,0.341857,-1409.269557,0.074413,0.069144,-1409.343970,-1409.338700,
o  p3nah_ts1_conf_04_opt,-1409.632969,0.341937,-1409.267574,0.075874,0.070127,-1409.343448,-1409.337702,
o  p3nah_ts1_conf_04a_opt,-1409.637130,0.342272,-1409.271164,0.075799,0.069853,-1409.346963,-1409.341017,
o  p3nah_ts1_conf_05_opt,-1409.632261,0.342454,-1409.266644,0.073195,0.068556,-1409.339839,-1409.335200,
o  p3nah_ts1_conf_06_opt,-1409.633634,0.342426,-1409.268018,0.073257,0.068626,-1409.341274,-1409.336643,
o  p3nah_ts1_conf_07_opt,-1409.633365,0.342256,-1409.267841,0.073489,0.068825,-1409.341330,-1409.336665,
o  p3nah_ts1_conf_08_opt,-1409.636710,0.342450,-1409.270994,0.074513,0.069304,-1409.345507,-1409.340298,
o  p3nah_ts2_conf_01a_opt,-1370.375097,0.319391,-1370.033687,0.070990,0.066646,-1370.104677,-1370.100333,
o  p3nah_ts2_conf_02a_opt,-1409.643076,0.348025,-1409.272216,0.071829,0.067880,-1409.344045,-1409.340096,
o  p3nah_ts2_conf_03a_opt,-1409.641903,0.347805,-1409.271052,0.073525,0.068860,-1409.344577,-1409.339912,
o  p3nah_ts2_conf_04a_opt,-1409.641320,0.347602,-1409.270354,0.073766,0.069021,-1409.344120,-1409.339375,
o  p3nah_ts2_conf_05a_opt,-1409.644430,0.348041,-1409.273399,0.073207,0.068416,-1409.346606,-1409.341815,
o  p3nah_ts2_conf_06_opt,-1409.641393,0.347761,-1409.270334,0.073723,0.068879,-1409.344057,-1409.339213,
o  p3nah_ts2_conf_06a_opt,-1409.644430,0.348055,-1409.273392,0.073213,0.068411,-1409.346604,-1409.341802,
o  p3nah_ts2_conf_07a_opt,-1409.640925,0.347287,-1409.270302,0.075491,0.069746,-1409.345792,-1409.340048,
o  phosphate_reactant_opt,-643.295288,0.036802,-643.252032,0.032065,0.032074,-643.284097,-643.284106,
   ********************************************************************************************************************************

   Gconf correction requested to be applied to below relative values using quasi-harmonic Boltzmann factors

   RXN: MNAH (kcal/mol)                    DE,DZPE,DH,T.DS,T.qh-DS,DG(T),qh-DG(T),
   ********************************************************************************************************************************
o  mnah_red,+,phos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
o  mnah_ts1,9.4,-1.4,7.7,-10.4,-11.8,18.1,19.5,
o  mnah_ts2,1.9,2.1,3.3,-11.7,-12.3,15.0,15.6,
   ********************************************************************************************************************************

   RXN: BNAH (kcal/mol)                    DE,DZPE,DH,T.DS,T.qh-DS,DG(T),qh-DG(T),
   ********************************************************************************************************************************
o  bnah_red,+,phos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
o  bnah_ts1,9.3,-1.5,7.4,-11.6,-12.4,19.0,19.9,
o  bnah_ts2,3.0,1.8,4.5,-11.0,-12.1,15.5,16.6,
   ********************************************************************************************************************************

   RXN: P2NAH (kcal/mol)                   DE,DZPE,DH,T.DS,T.qh-DS,DG(T),qh-DG(T),
   ********************************************************************************************************************************
o  p2nah_red,+,phos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
o  p2nah_ts1,9.4,-1.5,7.6,-10.0,-11.6,17.6,19.1,
o  p2nah_ts2,2.0,1.7,3.4,-11.1,-12.2,14.5,15.7,
   ********************************************************************************************************************************

   RXN: P3NAH (kcal/mol)                   DE,DZPE,DH,T.DS,T.qh-DS,DG(T),qh-DG(T),
   ********************************************************************************************************************************
o  p3nah_red,+,phos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
o  p3nah_ts1,7.3,-1.5,5.5,-11.2,-12.5,16.7,18.0,
o  p3nah_ts2,2.7,2.1,4.2,-12.4,-13.2,16.6,17.4,
   ********************************************************************************************************************************
